Date,PX_MID
2020-04-01,0.071
2020-04-02,0.078
2020-04-03,0.079
2020-04-06,0.085
2020-04-07,0.136
2020-04-08,0.186
2020-04-09,0.224
2020-04-10,0.224
2020-04-13,0.214
2020-04-14,0.17
2020-04-15,0.14
2020-04-16,0.133
2020-04-17,0.114
2020-04-20,0.088
2020-04-21,0.099
2020-04-22,0.103
2020-04-23,0.103
2020-04-24,0.113
2020-04-27,0.108
2020-04-28,0.102
2020-04-29,0.103
2020-04-30,0.1
2020-05-01,0.107
2020-05-04,0.103
2020-05-05,0.114
2020-05-06,0.113
2020-05-07,0.103
2020-05-08,0.107
2020-05-11,0.112
2020-05-12,0.126
2020-05-13,0.121
2020-05-14,0.114
2020-05-15,0.112
2020-05-18,0.109
2020-05-19,0.122
2020-05-20,0.119
2020-05-21,0.116
2020-05-22,0.118
2020-05-25,0.118
2020-05-26,0.126
2020-05-27,0.145
2020-05-28,0.145
2020-05-29,0.139
2020-06-01,0.135
2020-06-02,0.147
2020-06-03,0.151
2020-06-04,0.147
2020-06-05,0.151
2020-06-08,0.162
2020-06-09,0.168
2020-06-10,0.169
2020-06-11,0.179
2020-06-12,0.164
2020-06-15,0.164
2020-06-16,0.162
2020-06-17,0.157
2020-06-18,0.15
2020-06-19,0.15
2020-06-22,0.147
2020-06-23,0.145
2020-06-24,0.141
2020-06-25,0.139
2020-06-26,0.139
2020-06-29,0.131
2020-06-30,0.139
2020-07-01,0.138
2020-07-02,0.139
2020-07-03,0.139
2020-07-06,0.141
2020-07-07,0.147
2020-07-08,0.141
2020-07-09,0.131
2020-07-10,0.128
2020-07-13,0.131
2020-07-14,0.138
2020-07-15,0.133
2020-07-16,0.109
2020-07-17,0.112
2020-07-20,0.113
2020-07-21,0.115
2020-07-22,0.117
2020-07-23,0.112
2020-07-24,0.106
2020-07-27,0.099
2020-07-28,0.105
2020-07-29,0.101
2020-07-30,0.091
2020-07-31,0.091
2020-08-03,0.085
2020-08-04,0.094
2020-08-05,0.1
2020-08-06,0.093
2020-08-07,0.093
2020-08-10,0.095
2020-08-11,0.103
2020-08-12,0.103
2020-08-13,0.096
2020-08-14,0.094
2020-08-17,0.093
2020-08-18,0.098
2020-08-19,0.096
2020-08-20,0.094
2020-08-21,0.094
2020-08-24,0.09
2020-08-25,0.096
2020-08-26,0.096
2020-08-27,0.1
2020-08-28,0.1
2020-08-31,0.101
2020-09-01,0.103
2020-09-02,0.104
2020-09-03,0.103
2020-09-04,0.107
2020-09-07,0.107
2020-09-08,0.114
2020-09-09,0.109
2020-09-10,0.112
2020-09-11,0.11
2020-09-14,0.106
2020-09-15,0.105
2020-09-16,0.098
2020-09-17,0.09
2020-09-18,0.087
2020-09-21,0.085
2020-09-22,0.091
2020-09-23,0.094
2020-09-24,0.096
2020-09-25,0.095
2020-09-28,0.095
2020-09-29,0.094
2020-09-30,0.097
2020-10-01,0.09
2020-10-02,0.09
2020-10-05,0.09
2020-10-06,0.093
2020-10-07,0.094
2020-10-08,0.094
2020-10-09,0.099
2020-10-12,0.099
2020-10-13,0.095
2020-10-14,0.103
2020-10-15,0.1
2020-10-16,0.094
2020-10-19,0.091
2020-10-20,0.096
2020-10-21,0.095
2020-10-22,0.09
2020-10-23,0.09
2020-10-26,0.084
2020-10-27,0.093
2020-10-28,0.094
2020-10-29,0.089
2020-10-30,0.089
2020-11-02,0.089
2020-11-03,0.094
2020-11-04,0.089
2020-11-05,0.091
2020-11-06,0.089
2020-11-09,0.094
2020-11-10,0.095
2020-11-11,0.095
2020-11-12,0.089
2020-11-13,0.089
2020-11-16,0.084
2020-11-17,0.082
2020-11-18,0.074
2020-11-19,0.062
2020-11-20,0.067
2020-11-23,0.072
2020-11-24,0.08
2020-11-25,0.085
2020-11-26,0.085
2020-11-27,0.08
2020-11-30,0.076
2020-12-01,0.084
2020-12-02,0.084
2020-12-03,0.08
2020-12-04,0.079
2020-12-07,0.075
2020-12-08,0.072
2020-12-09,0.074
2020-12-10,0.075
2020-12-11,0.07
2020-12-14,0.067
2020-12-15,0.071
2020-12-16,0.079
2020-12-17,0.082
2020-12-18,0.082
2020-12-21,0.082
2020-12-22,0.081
2020-12-23,0.081
2020-12-24,0.084
2020-12-25,0.084
2020-12-28,0.087
2020-12-29,0.091
2020-12-30,0.08
2020-12-31,0.072
2021-01-01,0.072
2021-01-04,0.071
2021-01-05,0.081
2021-01-06,0.086
2021-01-07,0.082
2021-01-08,0.079
2021-01-11,0.082
2021-01-12,0.082
2021-01-13,0.086
2021-01-14,0.076
2021-01-15,0.079
2021-01-18,0.079
2021-01-19,0.077
2021-01-20,0.079
2021-01-21,0.075
2021-01-22,0.074
2021-01-25,0.074
2021-01-26,0.067
2021-01-27,0.067
2021-01-28,0.06
2021-01-29,0.052
2021-02-01,0.053
2021-02-02,0.052
2021-02-03,0.043
2021-02-04,0.028
2021-02-05,0.025
2021-02-08,0.03
2021-02-09,0.03
2021-02-10,0.041
2021-02-11,0.038
2021-02-12,0.039
2021-02-15,0.039
2021-02-16,0.038
2021-02-17,0.037
2021-02-18,0.032
2021-02-19,0.029
2021-02-22,0.029
2021-02-23,0.028
2021-02-24,0.033
2021-02-25,0.039
2021-02-26,0.038
2021-03-01,0.034
2021-03-02,0.037
2021-03-03,0.038
2021-03-04,0.033
2021-03-05,0.033
2021-03-08,0.039
2021-03-09,0.034
2021-03-10,0.035
2021-03-11,0.035
2021-03-12,0.029
2021-03-15,0.019
2021-03-16,0.016
2021-03-17,0.01
2021-03-18,0.009
2021-03-19,0.005
2021-03-22,0.005
2021-03-23,0.009
2021-03-24,0.018
2021-03-25,0.018
2021-03-26,0.018
2021-03-29,0.013
2021-03-30,0.016
2021-03-31,0.018
2021-04-01,0.015
2021-04-02,0.015
2021-04-05,0.018
2021-04-06,0.016
2021-04-07,0.013
2021-04-08,0.011
2021-04-09,0.01
2021-04-12,0.013
2021-04-13,0.015
2021-04-14,0.018
2021-04-15,0.013
2021-04-16,0.013
2021-04-19,0.018
2021-04-20,0.018
2021-04-21,0.019
2021-04-22,0.018
2021-04-23,0.018
2021-04-26,0.013
2021-04-27,0.009
2021-04-28,0.01
2021-04-29,0.009
2021-04-30,0.009
2021-05-03,0.01
2021-05-04,0.013
2021-05-05,0.011
2021-05-06,0.013
2021-05-07,0.011
2021-05-10,0.006
2021-05-11,0.01
2021-05-12,0.013
2021-05-13,0.01
2021-05-14,0.005
2021-05-17,0.009
2021-05-18,0.008
2021-05-19,0.008
2021-05-20,0.008
2021-05-21,0.003
2021-05-24,0.006
2021-05-25,0.011
2021-05-26,0.01
2021-05-27,0.008
2021-05-28,0.01
2021-05-31,0.01
2021-06-01,0.013
2021-06-02,0.016
2021-06-03,0.018
2021-06-04,0.018
2021-06-07,0.022
2021-06-08,0.025
2021-06-09,0.022
2021-06-10,0.023
2021-06-11,0.023
2021-06-14,0.018
2021-06-15,0.018
2021-06-16,0.029
2021-06-17,0.032
2021-06-18,0.035
2021-06-21,0.035
2021-06-22,0.034
2021-06-23,0.042
2021-06-24,0.049
2021-06-25,0.047
2021-06-28,0.044
2021-06-29,0.046
2021-06-30,0.043
2021-07-01,0.046
2021-07-02,0.044
2021-07-05,0.044
2021-07-06,0.047
2021-07-07,0.048
2021-07-08,0.048
2021-07-09,0.046
2021-07-12,0.048
2021-07-13,0.047
2021-07-14,0.048
2021-07-15,0.043
2021-07-16,0.046
2021-07-19,0.041
2021-07-20,0.044
2021-07-21,0.048
2021-07-22,0.046
2021-07-23,0.046
2021-07-26,0.043
2021-07-27,0.044
2021-07-28,0.048
2021-07-29,0.046
2021-07-30,0.043
2021-08-02,0.044
2021-08-03,0.044
2021-08-04,0.048
2021-08-05,0.048
2021-08-06,0.048
2021-08-09,0.048
2021-08-10,0.049
2021-08-11,0.053
2021-08-12,0.048
2021-08-13,0.052
2021-08-16,0.066
2021-08-17,0.067
2021-08-18,0.06
2021-08-19,0.049
2021-08-20,0.047
2021-08-23,0.044
2021-08-24,0.047
2021-08-25,0.048
2021-08-26,0.047
2021-08-27,0.048
2021-08-30,0.043
2021-08-31,0.041
2021-09-01,0.041
2021-09-02,0.043
2021-09-03,0.041
2021-09-06,0.041
2021-09-07,0.039
2021-09-08,0.043
2021-09-09,0.042
2021-09-10,0.041
2021-09-13,0.042
2021-09-14,0.038
2021-09-15,0.038
2021-09-16,0.034
2021-09-17,0.037
2021-09-20,0.028
2021-09-21,0.022
2021-09-22,0.028
2021-09-23,0.03
2021-09-24,0.033
2021-09-27,0.028
2021-09-28,0.032
2021-09-29,0.033
2021-09-30,0.037
2021-10-01,0.035
2021-10-04,0.03
2021-10-05,0.038
2021-10-06,0.043
2021-10-07,0.049
2021-10-08,0.061
2021-10-11,0.061
2021-10-12,0.047
2021-10-13,0.046
2021-10-14,0.043
2021-10-15,0.047
2021-10-18,0.046
2021-10-19,0.047
2021-10-20,0.051
2021-10-21,0.052
2021-10-22,0.056
2021-10-25,0.055
2021-10-26,0.055
2021-10-27,0.052
2021-10-28,0.052
2021-10-29,0.055
2021-11-01,0.047
2021-11-02,0.048
2021-11-03,0.046
2021-11-04,0.042
2021-11-05,0.042
2021-11-08,0.041
2021-11-09,0.042
2021-11-10,0.049
2021-11-11,0.049
2021-11-12,0.048
2021-11-15,0.046
2021-11-16,0.041
2021-11-17,0.048
2021-11-18,0.062
2021-11-19,0.048
2021-11-22,0.047
2021-11-23,0.047
2021-11-24,0.058
2021-11-25,0.058
2021-11-26,0.048
2021-11-29,0.043
2021-11-30,0.051
2021-12-01,0.047
2021-12-02,0.039
2021-12-03,0.049
2021-12-06,0.046
2021-12-07,0.062
2021-12-08,0.062
2021-12-09,0.055
2021-12-10,0.052
2021-12-13,0.053
2021-12-14,0.047
2021-12-15,0.046
2021-12-16,0.042
2021-12-17,0.039
2021-12-20,0.046
2021-12-21,0.06
2021-12-22,0.065
2021-12-23,0.066
2021-12-24,0.066
2021-12-27,0.049
2021-12-28,0.051
2021-12-29,0.044
2021-12-30,0.041
2021-12-31,0.044
2022-01-03,0.062
2022-01-04,0.08
2022-01-05,0.089
2022-01-06,0.096
2022-01-07,0.095
2022-01-10,0.094
2022-01-11,0.117
2022-01-12,0.119
2022-01-13,0.117
2022-01-14,0.12
2022-01-17,0.12
2022-01-18,0.133
2022-01-19,0.171
2022-01-20,0.171
2022-01-21,0.167
2022-01-24,0.164
2022-01-25,0.189
2022-01-26,0.195
2022-01-27,0.198
2022-01-28,0.185
2022-01-31,0.186
2022-02-01,0.199
2022-02-02,0.194
2022-02-03,0.199
2022-02-04,0.23
2022-02-07,0.217
2022-02-08,0.274
2022-02-09,0.279
2022-02-10,0.398
2022-02-11,0.359
2022-02-14,0.378
2022-02-15,0.406
2022-02-16,0.387
2022-02-17,0.356
2022-02-18,0.34
